name,url,uploads,subsribers,views,country,channeltype,facebooklink,twitterlink
LuisFonsiVEVO,https://socialblade.com/youtube/user/luisfonsivevo,56,18607930,9732824051,US,music,https://youtube.com/channel/UCLp8RBhQHu9wSsq62j_Md6A,https://twitter.com/luisfonsi
Logan Paul Vlogs,https://socialblade.com/youtube/c/loganpaulvlogs,578,18611196,4132944437,US,entertainment,https://youtube.com/channel/UCG8rbF3g2AMX70yOd8vqIZg,https://twitter.com/loganpaul
Adele - Topic,https://socialblade.com/youtube/s/?q=UCRw0x9_EfawqmgDI2IgQLLg,74,405325,113595790,,music,https://youtube.com/channel/UCRw0x9_EfawqmgDI2IgQLLg,
Skrillex,https://socialblade.com/youtube/c/skrillex,163,18245948,4832078910,US,music,https://youtube.com/channel/UC_TVqp_SyG6j5hG-xVRy95A,https://twitter.com/skrillex
FBE,https://socialblade.com/youtube/c/fbe\\\\,1803,18185346,7278624018,US,entertainment,https://youtube.com/channel/UC0v-tlzsn0QZwJnkiaUSJVQ,https://twitter.com/fbe/
Maluma,https://socialblade.com/youtube/channel/UClZuKq2m0Qu-HkopkSBLpEw,1,18086138,640208,,,https://youtube.com/channel/UClZuKq2m0Qu-HkopkSBLpEw,
BuzzFeedVideo,https://socialblade.com/youtube/c/buzzfeedvideo,5687,17945592,14417590745,US,people,https://youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA,https://twitter.com/buzzfeedvideo
Маша и Медведь,https://socialblade.com/youtube/s/?q=UCRv76wLBC73jiP7LX4C3l8Q,585,18006880,17314974004,RU,film,https://youtube.com/channel/UCRv76wLBC73jiP7LX4C3l8Q,https://twitter.com/mashaandthebear
WORLDSTARHIPHOP,https://socialblade.com/youtube/c/worldstarhip-hop,4997,17965072,12502817120,US,music,https://youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ,https://twitter.com/worldstar
Beyoncé,https://socialblade.com/youtube/c/beyonce\\\\,218,17723449,776775635,US,music,https://youtube.com/channel/UCuHzBCaKmtaLcRAOoazhCPA,
Vevo,https://socialblade.com/youtube/c/-vevo,1552,17725729,549750326,US,music,https://youtube.com/channel/UC2pmfLm7iq6Ov1UwYrWYkZA,https://twitter.com/vevo/vevo-around-the-world/members
CanalCanalha,https://socialblade.com/youtube/c/canalcanalha,197,17661450,1211643020,BR,comedy,https://youtube.com/channel/UCPHXtOVmjvbP9OJihsd7gCg,https://www.twitter.com/juliococielo
Speed Records,https://socialblade.com/youtube/user/speedrecordss,6091,17875205,9060724124,IN,music,https://youtube.com/channel/UCOsyDsO5tIt-VZ1iwjdQmew,https://www.twitter.com/speed_records
Jake Paul,https://socialblade.com/youtube/c/jakepaulchannel,709,17597296,5169729809,US,people,https://youtube.com/channel/UCcgVECVN4OKV6DH1jLkqmcA,https://twitter.com/jakepaul
Daddy Yankee,https://socialblade.com/youtube/c/daddyyankee,326,17664130,6150029715,PR,music,https://youtube.com/channel/UC9TO_oo4c_LrOiKNaY6aysA,https://twitter.com/daddy_yankee
El Reino Infantil,https://socialblade.com/youtube/c/elreinoinfantil,622,17525606,17673825315,AR,music,https://youtube.com/channel/UCK1i2UviaXLUNrZlAFpw_jA,https://twitter.com/#!/reino_infantil
Nicki Minaj,https://socialblade.com/youtube/c/nicki-minaj,18,17508973,84312440,US,music,https://youtube.com/channel/UC3jOd7GUMhpgJRBhiLzuLsg,https://twitter.com/nickiminaj
Goldmines Telefilms,https://socialblade.com/youtube/s/?q=UCyoXW-Dse7fURq30EWl_CUA,354,17584744,1613920414,IN,film,https://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA,https://twitter.com/gtelefilms
Shemaroo Filmi Gaane,https://socialblade.com/youtube/s/?q=UCP6uH_XlsxrXwZQ4DlqbqPg,5321,17471522,8062692329,IN,music,https://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg,https://twitter.com/filmigaane
Ryan ToysReview,https://socialblade.com/youtube/c/ryantoysreview,1221,17282433,25901555132,US,entertainment,https://youtube.com/channel/UChGJGhZ9SOOHvBB0Y4DOO_w,
The Late Late Show with James…,https://socialblade.com/youtube/user/thelatelateshow,3024,17088382,5056821394,US,entertainment,https://youtube.com/channel/UCJ0uqCI0Vqr2Rrt1HseGirg,https://twitter.com/latelateshow
Little Baby Bum - Nursery Rhymes &amp; Kids Songs,https://socialblade.com/youtube/s/?q=UCKAqou7V9FAWXpZd9xtOg3Q,749,17034789,17980663990,US,education,https://youtube.com/channel/UCKAqou7V9FAWXpZd9xtOg3Q,https://twitter.com/littlebabybum
NickyJamTV,https://socialblade.com/youtube/s/?q=UCpb_iJuhFe8V6rQdbNqfAlQ,218,16931760,10715928394,PR,music,https://youtube.com/channel/UCpb_iJuhFe8V6rQdbNqfAlQ,https://www.twitter.com/nickyjampr
Wiz Khalifa,https://socialblade.com/youtube/c/wizkhalifa,446,16859766,8273515306,US,music,https://youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A,https://twitter.com/wizkhalifa
CVS 3D Rhymes,https://socialblade.com/youtube/c/cybervillagesolution,317,16945716,10387467691,IN,education,https://youtube.com/channel/UCsPF3cApzCohxPp5oKdoWSQ,https://twitter.com/cvs3danimation
The Chainsmokers,https://socialblade.com/youtube/c/thechainsmokers,139,16841193,630933310,US,music,https://youtube.com/channel/UCq3Ci-h945sbEYXpVlw7rJg,https://www.twitter.com/thechainsmokers
SMTOWN,https://socialblade.com/youtube/c/s m to w n,3467,16873095,12528762384,KR,music,https://youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g,
Drake,https://socialblade.com/youtube/c/drake\\\\\\\\\\\\\\\\,67,16810343,337031100,US,music,https://youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ,https://www.twitter.com/drake
Shawn Mendes,https://socialblade.com/youtube/c/shawn mendes,74,16670134,234472808,CA,music,https://youtube.com/channel/UCAvCL8hyXjSUHKEGuUPr1BA,https://twitter.com/shawnmendes
Enrique Iglesias,https://socialblade.com/youtube/c/enriqueiglesias,351,16576119,340145720,US,music,https://youtube.com/channel/UC-6czyMkxDi8E8akPl0c7_w,https://twitter.com/enriqueiglesias
Liza Koshy,https://socialblade.com/youtube/c/lizakoshy,148,16319903,1895603487,US,comedy,https://youtube.com/channel/UCxSz6JVYmzVhtkraHWZC7HQ,https://twitter.com/lizakoshy
LosPolinesios,https://socialblade.com/youtube/s/?q=UCs8qka8tfhdc69wzXYdtZ3A,418,16419431,3064006436,MX,people,https://youtube.com/channel/UCs8qka8tfhdc69wzXYdtZ3A,https://twitter.com/platicapolinesi
Werevertumorro,https://socialblade.com/youtube/s/?q=UCzVIrPfZBE-XkBISBybMBLA,1038,16216871,2544572432,MX,howto,https://youtube.com/channel/UCzVIrPfZBE-XkBISBybMBLA,https://twitter.com/werevertumorro
AdeleVEVO,"https://socialblade.com/youtube/c/adele,",31,16186152,7676791729,GB,music,https://youtube.com/channel/UComP_epzeKzvBX156r6pm1Q,https://twitter.com/adele
Ultra Music,https://socialblade.com/youtube/c/ultramusic,3671,16269449,9608222082,US,music,https://youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA,https://www.twitter.com/ultrarecords
PTXofficial,https://socialblade.com/youtube/c/ptxofficial\,168,15987561,3600092117,US,music,https://youtube.com/channel/UCmv1CLT6ZcFdTJMHxaR9XeA,https://twitter.com/ptxofficial
SonyMusicIndiaVEVO,https://socialblade.com/youtube/user/sonymusicindiavevo,2988,16126216,7266851129,US,music,https://youtube.com/channel/UC3MLnJtqc_phABBriLRhtgQ,
PopularMMOs,https://socialblade.com/youtube/user/popularmmos,4308,15829711,12262665693,US,games,https://youtube.com/channel/UCpGdL9Sn3Q5YWUH2DVUW1Ug,https://www.twitter.com/popularmmos
AuthenticGames,https://socialblade.com/youtube/user/authenticgames,3516,15780312,6317871552,BR,games,https://youtube.com/channel/UCIPA6iWNaoetaa1T46RkzXw,https://twitter.com/authenticgames
YRF,https://socialblade.com/youtube/s/?q=UCbTLwN10NoCU4WDzLf1JMOA,3645,15859596,8602686915,IN,music,https://youtube.com/channel/UCbTLwN10NoCU4WDzLf1JMOA,https://twitter.com/yrf
Maroon5VEVO,https://socialblade.com/youtube/user/maroon5vevo,112,15661474,11302963040,US,music,https://youtube.com/channel/UCN1hnUccO4FD5WfM7ithXaw,https://www.twitter.com/maroon5
TEDx Talks,https://socialblade.com/youtube/user/tedxtalks,123283,15774174,2879914161,US,nonprofit,https://youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,https://twitter.com/tedx
DrossRotzank,https://socialblade.com/youtube/c/drossrotzanck,1165,15678385,3257700977,AR,entertainment,https://youtube.com/channel/UCNYW2vfGrUE6R5mIJYzkRyQ,https://twitter.com/eldiariodedross
SelenaGomezVEVO,https://socialblade.com/youtube/c/selenagomezvevi,127,15603450,6812408815,US,music,https://youtube.com/channel/UCjK8ORC71kwyj1DWFwril_A,https://twitter.com/selenagomez
Ali-A,https://socialblade.com/youtube/c/alia,3000,15555191,4141876850,GB,games,https://youtube.com/channel/UCYVinkwSX7szARULgYpvhLw,https://www.twitter.com/omgitsalia
ImagineDragons,https://socialblade.com/youtube/user/imaginedragons,51,15401280,17097414,US,music,https://youtube.com/channel/UCT9zcQNlyht7fRlcjmflRSA,https://www.twitter.com/#!/imaginedragons
Eros Now,https://socialblade.com/youtube/s/?q=UCX52tYZiEh_mHoFja3Veciw,9912,15355280,9364609338,IN,entertainment,https://youtube.com/channel/UCX52tYZiEh_mHoFja3Veciw,https://twitter.com/erosnow
Collins Key,https://socialblade.com/youtube/s/?q=UC7TTtOQKMXTWWMtWQMIgVSA,223,15495641,2588415418,US,entertainment,https://youtube.com/channel/UC7TTtOQKMXTWWMtWQMIgVSA,https://twitter.com/collinskey
Calvin Harris,https://socialblade.com/youtube/c/calvinharris,69,15177108,116854762,GB,music,https://youtube.com/channel/UCIjYyZxkFucP_W-tmXg_9Ow,https://www.twitter.com/calvinharris
MalumaVEVO,https://socialblade.com/youtube/user/malumavevo,91,15077846,10472008990,US,music,https://youtube.com/channel/UCFkoPRmuxqr37jvGmmpzhzQ,https://twitter.com/maluma
RomanAtwoodVlogs,https://socialblade.com/youtube/c/romanatwoodvolgs,1576,15071149,4911095233,US,people,https://youtube.com/channel/UC-SV8-bUJfXjrRMnp7F8Wzw,https://www.twitter.com/_little_britt_
Porta dos Fundos,https://socialblade.com/youtube/s/?q=UCEWHPFNilsT0IfQfutVzsag,947,15055915,4356645513,BR,entertainment,https://youtube.com/channel/UCEWHPFNilsT0IfQfutVzsag,https://www.twitter.com/portadosfundos/
ChrisBrownTV,https://socialblade.com/youtube/user/chrisbrowntv,15,15060977,30772848,US,music,https://youtube.com/channel/UCcYrdFJF7hmPXRNaWdrko4w,https://twitter.com/chrisbrown
TheWillyrex,https://socialblade.com/youtube/user/thewillyrex,5256,15017668,5224787321,ES,games,https://youtube.com/channel/UC4LHNX8d8RqnDX0OezgmCTg,https://twitter.com/willyrexyt
Demi Lovato,https://socialblade.com/youtube/c/demi,189,14852198,389686196,US,entertainment,https://youtube.com/channel/UCZkURf9tDolFOeuw_4RD7XQ,https://twitter.com/ddlovato
Kimberly Loaiza,https://socialblade.com/youtube/c/kimberlyloaiza,74,14902266,830350626,MX,people,https://youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ,https://twitter.com/kimberlyloaiza_
